"region";"esperadas";"observadas";"SMR";"IC_inf";"IC_sup";"interpretacion"
"De Aisén del Gral. C. Ibáñez del Campo";17,7881797053518;14;0,787039496558939;0,430281816525489;1,32051854157784;"Similar a lo esperado"
"De Antofagasta";94,0096945655124;75;0,797790061404091;0,627512491920092;1,00003675028768;"Similar a lo esperado"
"De Arica y Parinacota";41,2004488005822;32;0,776690568466521;0,531255773868542;1,09645533955402;"Similar a lo esperado"
"De Atacama";52,1680763623662;42;0,805090065201228;0,580238104280845;1,08824788524205;"Similar a lo esperado"
"De Coquimbo";145,544747617596;154;1,05809383382642;0,897579867681974;1,23902975501517;"Similar a lo esperado"
"De La Araucanía";193,114630149779;152;0,787097279383283;0,666943640748919;0,922644950382045;"Bajo lo esperado"
"De Los Lagos";158,43853201586;160;1,00985535503437;0,859440573288482;1,17902094931982;"Similar a lo esperado"
"De Los Ríos";79,003540344992;79;0,99995518751468;0,791673938743425;1,24624251944574;"Similar a lo esperado"
"De Magallanes y de La Antártica Chilena";33,1596052737197;47;1,417387197828;1,04144280011787;1,88482449729825;"Sobre lo esperado"
"De Tarapacá";49,8397718614964;51;1,02327916230692;0,761898548488874;1,34542312037362;"Similar a lo esperado"
"De Valparaíso";380,310449904466;431;1,13328466285443;1,02880518917592;1,24549775594711;"Sobre lo esperado"
"De Ñuble";104,535441285989;96;0,918348828100913;0,743865499187562;1,1214611002464;"Similar a lo esperado"
"Del Bíobío";307,750419190125;293;0,952070189769547;0,84616547662259;1,06756403922669;"Similar a lo esperado"
"Del Libertador B. O'Higgins";183,940480356361;174;0,945958168984324;0,81062135544151;1,09742925994394;"Similar a lo esperado"
"Del Maule";212,323840564574;187;0,880730112561845;0,759016250160411;1,01640933699759;"Similar a lo esperado"
"Metropolitana de Santiago";1327,60485899551;1441;1,08541332176977;1,0300884345267;1,14293767693189;"Sobre lo esperado"
