"año";"grupo_etario";"defunciones";"poblacion";"tasa_100k"
1992;"20-39";2;4647225;0,0430364357223935
1992;"40-59";23;2492321;0,92283457869191
1992;"60-79";30;1169732;2,56469003156279
1992;"80+";3;169228;1,77275628146642
1993;"20-39";2;4720421;0,0423691022474478
1993;"40-59";13;2576249;0,50460960877617
1993;"60-79";27;1197410;2,25486675407755
1993;"80+";2;177729;1,12530875659009
1993;"<20";1;5319318;0,0187994024797916
1994;"20-39";2;4786708;0,041782369010184
1994;"40-59";24;2665427;0,900418582088348
1994;"60-79";40;1224522;3,26658075559279
1994;"80+";4;186648;2,14307145000214
1994;"<20";1;5343124;0,0187156427588055
1995;"20-39";2;4841931;0,0413058343871484
1995;"40-59";17;2756677;0,616684508195918
1995;"60-79";45;1252467;3,59290903472906
1995;"80+";3;195327;1,53588597582515
1995;"<20";1;5367644;0,0186301476029334
1996;"20-39";2;4882567;0,0409620595068127
1996;"40-59";25;2852882;0,876306836385101
1996;"60-79";44;1281112;3,43451626399565
1996;"80+";4;203421;1,9663653211812
1996;"<20";1;5393794;0,0185398255847368
1997;"20-39";2;4908749;0,0407435784555291
1997;"40-59";25;2955820;0,845788985797511
1997;"60-79";33;1312090;2,51507137467704
1997;"80+";4;211112;1,89472886429952
1997;"<20";3;5422070;0,0553294221579581
1998;"20-39";4;4923997;0,0812348179740971
1998;"40-59";24;3066086;0,782756908971242
1998;"60-79";48;1346458;3,56490882003003
1998;"80+";8;217790;3,67326323522659
1999;"20-39";5;4935926;0,101298115085194
1999;"40-59";19;3180379;0,597413075611429
1999;"60-79";37;1385508;2,67050063947664
1999;"80+";7;222996;3,13906975909882
2000;"20-39";3;4951042;0,0605933054092452
2000;"40-59";22;3297130;0,667246969333936
2000;"60-79";48;1428317;3,36059852259687
2000;"80+";5;229816;2,17565356633133
2001;"20-39";4;4971065;0,0804656547440036
2001;"40-59";35;3415510;1,02473715491976
2001;"60-79";53;1473184;3,59764971653235
2001;"80+";8;238856;3,34929832200154
2001;"<20";1;5444950;0,0183656415577737
2002;"20-39";3;4990605;0,0601129522372538
2002;"40-59";31;3533519;0,877312390282888
2002;"60-79";51;1520375;3,35443558332648
2002;"80+";4;249138;1,60553588774093
2002;"<20";1;5422287;0,0184424026245752
2003;"20-39";4;5002674;0,079957238868653
2003;"40-59";31;3651704;0,848918751355532
